Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:28:67:20,-0.178,0.947,-0.27,0.183,0.366,0.122
2025-02-01, 10:28:67:71,-0.177,0.947,-0.271,0.061,0.366,0.122
2025-02-01, 10:28:68:22,-0.177,0.948,-0.272,0.122,0.305,0.061
2025-02-01, 10:28:68:73,-0.177,0.948,-0.272,0.122,0.366,0.061
2025-02-01, 10:28:69:24,-0.176,0.946,-0.274,-0.122,0.366,0.122
2025-02-01, 10:28:69:75,-0.176,0.945,-0.274,0.122,0.305,0.061
2025-02-01, 10:28:70:26,-0.175,0.946,-0.275,0.122,0.305,0.061
2025-02-01, 10:28:70:77,-0.175,0.945,-0.274,0.244,0.305,0.061
2025-02-01, 10:28:71:28,-0.173,0.947,-0.276,0,0.244,0.061
2025-02-01, 10:28:71:79,-0.174,0.946,-0.277,0,0.244,0
2025-02-01, 10:28:72:30,-0.174,0.945,-0.278,0.061,0.305,0.061
2025-02-01, 10:28:72:81,-0.173,0.945,-0.279,0.122,0.305,0.061
2025-02-01, 10:28:73:32,-0.173,0.945,-0.279,-0.061,0.305,0
2025-02-01, 10:28:73:83,-0.174,0.945,-0.279,0.183,0.366,0.061
2025-02-01, 10:28:74:34,-0.173,0.945,-0.28,0.122,0.366,0.061
2025-02-01, 10:28:74:85,-0.173,0.945,-0.281,0.061,0.366,0.061
2025-02-01, 10:28:75:36,-0.173,0.944,-0.281,0.122,0.305,0
2025-02-01, 10:28:75:87,-0.172,0.944,-0.282,0.061,0.366,0.061
2025-02-01, 10:28:76:38,-0.172,0.945,-0.282,0.122,0.305,0.061
2025-02-01, 10:28:76:89,-0.172,0.945,-0.282,0.061,0.366,0
2025-02-01, 10:28:77:40,-0.171,0.945,-0.283,0.061,0.305,0.061
2025-02-01, 10:28:77:91,-0.172,0.944,-0.283,0.061,0.305,0.061
2025-02-01, 10:28:78:42,-0.172,0.944,-0.284,0,0.305,0.061
2025-02-01, 10:28:78:93,-0.172,0.944,-0.284,0.061,0.305,0.061
2025-02-01, 10:28:79:43,-0.17,0.944,-0.284,0.183,0.244,0
2025-02-01, 10:28:79:94,-0.171,0.943,-0.287,-0.549,0.122,0
2025-02-01, 10:28:80:45,-0.168,0.932,-0.293,-5.615,-1.404,-0.305
2025-02-01, 10:28:80:96,-0.164,0.941,-0.305,-3.845,-1.099,-0.427
2025-02-01, 10:28:81:47,-0.165,0.94,-0.3,0.183,0.305,0.122
2025-02-01, 10:28:81:98,-0.165,0.94,-0.301,0.122,0.305,0.122
2025-02-01, 10:28:82:49,-0.164,0.939,-0.302,0.427,0.488,0.061
2025-02-01, 10:28:83:00,-0.165,0.94,-0.305,-0.061,0.244,0
2025-02-01, 10:28:83:51,-0.164,0.939,-0.303,0,0.305,0.061
